code,name,market,big_theme,primary_theme,secondary_theme_1,secondary_theme_2,secondary_theme_3,industry,legacy_theme_count,legacy_theme_all,event_theme_all,classification_source,confidence
028080,휴맥스홀딩스,KOSDAQ,2차전지·전기차,전기차(충전소/충전기),지주사,,,전자제품,2,전기차(충전소/충전기) | 지주사,,legacy_theme,높음
051360,토비스,KOSDAQ,2차전지·전기차,전기차(충전소/충전기),전기차 화재 방지(배터리 열폭주 등),카지노,스마트폰,디스플레이장비및부품,4,스마트폰 | 전기차 화재 방지(배터리 열폭주 등) | 전기차(충전소/충전기) | 카지노,,legacy_theme,높음
063570,NICE인프라,KOSDAQ,2차전지·전기차,전기차(충전소/충전기),화폐/금융자동화기기(디지털화폐 등),키오스크(KIOSK),,상업서비스와공급품,3,전기차(충전소/충전기) | 키오스크(KIOSK) | 화폐/금융자동화기기(디지털화폐 등),,legacy_theme,높음
066670,디티씨,KOSDAQ,2차전지·전기차,전기차(충전소/충전기),스마트폰,,,핸드셋,2,스마트폰 | 전기차(충전소/충전기),,legacy_theme,높음
079960,동양이엔피,KOSDAQ,2차전지·전기차,전기차(충전소/충전기),,,,전기제품,1,전기차(충전소/충전기),,legacy_theme,높음
115160,휴맥스,KOSDAQ,2차전지·전기차,전기차(충전소/충전기),전기차,,,전자제품,2,전기차 | 전기차(충전소/충전기),,legacy_theme,높음
118990,모트렉스,KOSDAQ,2차전지·전기차,전기차(충전소/충전기),자율주행차,자동차부품,스마트카(SMART CAR),자동차부품,4,스마트카(SMART CAR) | 자동차부품 | 자율주행차 | 전기차(충전소/충전기),,legacy_theme,높음
217820,원익피앤이,KOSDAQ,2차전지·전기차,전기차(충전소/충전기),전력저장장치(ESS),2차전지(장비),전기차,전기제품,7,2차전지 | 2차전지(장비) | 전기차 | 전기차(충전소/충전기) | 전력저장장치(ESS) | 초전도체 | 폐배터리,,legacy_theme,높음
273640,와이엠텍,KOSDAQ,2차전지·전기차,전기차(충전소/충전기),전기차 화재 방지(배터리 열폭주 등),전력저장장치(ESS),전기차,전기제품,4,전기차 | 전기차 화재 방지(배터리 열폭주 등) | 전기차(충전소/충전기) | 전력저장장치(ESS),,legacy_theme,높음
307180,아이엘,KOSDAQ,2차전지·전기차,전기차(충전소/충전기),2차전지(전고체),LED,피지컬 AI/휴머노이드 로봇,디스플레이장비및부품,5,2차전지(전고체) | LED | 로봇(산업용/협동로봇 등) | 전기차(충전소/충전기) | 피지컬 AI/휴머노이드 로봇,,legacy_theme,높음
453450,그리드위즈,KOSDAQ,2차전지·전기차,전기차(충전소/충전기),전기차 화재 방지(배터리 열폭주 등),전력저장장치(ESS),태양광에너지,전기유틸리티,4,전기차 화재 방지(배터리 열폭주 등) | 전기차(충전소/충전기) | 전력저장장치(ESS) | 태양광에너지,,legacy_theme,높음
